,title,eps_count,publish_date,status,season,studio,rate,eps_period,type,classification
516,Deji Meets Girl, 12,2023-09, compleated,Fall,LIDENFILMS,6.15,2.0,series,['Slice of Life']
517,Nanatsu no Taizai: Funnu no Shinpan, 24,2023-10, compleated,Winter,Studio Deen,6.58,24.0,series,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
518,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore, 12,2023-09, compleated,Summer,EMT Squared,6.47,23.0,series,"['Comedy', 'Fantasy', 'Harem', 'Isekai']"
519,Teppen!!!!!!!!!!!!!!!, 12,2023-09, compleated,Summer,Drive,6.71,23.0,series,"['Comedy', 'School']"
520,Meitantei Conan: Hannin no Hanzawa-san, 12,2023-12, compleated,Fall,TMS Entertainment,6.82,9.0,series,"['Comedy', 'Mystery', 'Shounen']"
521,Nisekoi, 20,2023-10, compleated,Winter,Shaft,7.57,24.0,series,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen']"
522,Hypnosis Mic: Division Rap Battle – Rhyme Anima, 13,2023-10, compleated,Fall,A-1 Pictures,6.81,24.0,series,"['Adult Cast', 'Drama', 'Music']"
523,Mieruko-chan, 12,2023-09, compleated,Fall,Passione,7.42,23.0,series,"['Comedy', 'Horror', 'School', 'Supernatural']"
524,Hai to Gensou no Grimgar, 12,2023-09, compleated,Winter,A-1 Pictures,7.65,24.0,series,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Isekai']"
527,Yakusoku no Neverland 2nd Season, 11,2023-09, compleated,Winter,CloverWorks,5.29,22.0,series,"['Fantasy', 'Psychological', 'Sci-Fi', 'Shounen', 'Survival', 'Suspense']"
528,Tsurune: Tsunagari no Issha, 13,2023-09, compleated,Winter,Kyoto Animation,8.10,23.0,series,"['School', 'Sports']"
531,Tales of Zestiria the Cross, 12,2023-09, compleated,Summer,ufotable,7.23,23.0,series,"['Action', 'Adventure', 'Fantasy']"
534,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou – Yakusai-hen, 11,2023-09, compleated,Winter,J.C.Staff,8.24,24.0,series,"['Action', 'Adventure', 'Fantasy']"
536,Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto, 12,2023-09, compleated,Spring,Lay-duce,7.28,23.0,series,"['Idols (Male)', 'School']"
538,Mashiro no Oto, 12,2023-09, compleated,Spring,Shin-Ei Animation,7.54,24.0,series,"['Drama', 'Music', 'School', 'Shounen']"
539,Azur Lane: Bisoku Zenshin!, 12,2023-09, compleated,Winter,CANDY BOX,7.02,8.0,series,"['CGDCT', 'Comedy', 'Military', 'Sci-Fi']"
540,"Mix: Meisei Story 2nd Season – Nidome no Natsu, Sora no Mukou e", 24,2023-09, compleated,Spring,OLM,6.82,23.0,series,"['Drama', 'Romance', 'School', 'Shounen', 'Sports', 'Team Sports']"
542,Princess Connect! Re:Dive, 13,2023-10, compleated,Spring,CygamesPictures,7.05,23.0,series,"['Adventure', 'Comedy', 'Fantasy', 'Gourmet']"
545,Shingeki no Kyojin: The Final Season Part 2, 12,2023-09, compleated,Winter,MAPPA,8.77,23.0,series,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival']"
546,Peach Boy Riverside, 12,2023-09, compleated,Summer,Asahi Production,6.25,23.0,series,"['Adventure', 'Fantasy', 'Shounen']"
547,Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω, 10,2023-09, compleated,Spring,Okuruto Noboru,6.72,24.0,series,"['Action', 'Ecchi', 'Fantasy', 'Harem', 'Isekai']"
548,Haikyuu!! To the Top Part 2, 12,2023-09, compleated,Fall,Production I.G,8.55,23.0,series,"['School', 'Shounen', 'Sports', 'Team Sports']"
550,Netoge no Yome wa Onnanoko ja Nai to Omotta?, 12,2023-09, compleated,Spring,Project No.9,6.70,24.0,series,"['Comedy', 'Ecchi', 'Romance', 'School', 'Video Game']"
555,Spy x Family, 12,2023-09, compleated,Spring,CloverWorks,8.59,24.0,series,"['Action', 'Award Winning', 'Childcare', 'Comedy', 'Shounen']"
556,Battle Athletess Daiundoukai ReSTART!, 12,2023-09, compleated,Spring,Seven,5.10,23.0,series,"['Action', 'Adventure', 'Comedy', 'School', 'Sci-Fi', 'Sports']"
557,Suki tte Ii na yo., 13,2023-10, compleated,Fall,Zexcs,7.41,23.0,series,"['Drama', 'Romance', 'School', 'Shoujo']"
558,Yama no Susume: Next Summit, 12,2023-09, compleated,Fall,8bit,7.63,24.0,series,"['Adventure', 'CGDCT', 'Iyashikei', 'Slice of Life']"
559,Isekai wa Smartphone to Tomo ni., 12,2023-09, compleated,Summer,Production Reed,6.14,24.0,series,"['Adventure', 'Comedy', 'Fantasy', 'Harem', 'Isekai', 'Reincarnation', 'Romance']"
560,Strike the Blood, 24,2023-10, compleated,Fall,Connect,7.03,24.0,series,"['Action', 'Ecchi', 'Fantasy', 'Harem', 'School', 'Supernatural', 'Vampire']"
561,Arifureta Shokugyou de Sekai Saikyou, 13,2023-10, compleated,Summer,asread.,6.70,23.0,series,"['Action', 'Adventure', 'Fantasy', 'Harem', 'Isekai']"
563,No Guns Life 2nd Season, 12,2023-09, compleated,Summer,Madhouse,7.08,23.0,series,"['Action', 'Drama', 'Sci-Fi', 'Seinen']"
564,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto, 12,2023-12, compleated,Summer,BUG FILMS,8.16,24.0,series,"['Action', 'Adult Cast', 'Comedy', 'Horror', 'Seinen', 'Supernatural', 'Survival']"
567,Oniichan wa Oshimai!, 12,2023-09, compleated,Winter,Studio Bind,7.70,23.0,series,"['CGDCT', 'Comedy', 'Magical Sex Shift', 'School', 'Shounen']"
568,Orient: Awajishima Gekitou-hen, 12,2023-09, compleated,Summer,A.C.G.T.,7.05,23.0,series,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Samurai', 'Shounen']"
569,One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,null,2024-08, compleated,unknown,Toei Animation,7.84,,movie,"['Adventure', 'Fantasy', 'Shounen']"
570,Bokutachi no Remake, 12,2023-09, compleated,Summer,feel.,7.41,25.0,series,"['Adult Cast', 'Drama', 'Romance', 'Time Travel']"
573,Tsukimonogatari, 4,2023-10, compleated,Fall,Shaft,8.09,26.0,series,"['Comedy', 'Ecchi', 'Mystery', 'Supernatural']"
574,Angel Beats!, 13,2023-10, compleated,Spring,P.A. Works,8.06,24.0,series,"['Drama', 'School', 'Supernatural']"
575,One Piece Film: Z,null,2024-08, compleated,unknown,Toei Animation,8.12,,movie,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
576,Boku dake ga Inai Machi, 12,2023-09, compleated,Winter,A-1 Pictures,8.30,23.0,series,"['Mystery', 'Psychological', 'Seinen', 'Supernatural', 'Suspense', 'Time Travel']"
577,One Piece: Episode of Nami – Koukaishi no Namida to Nakama no Kizuna,null,2024-08, compleated,unknown,Toei Animation,8.11,,movie,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
580,Bungou Stray Dogs 4th Season, 13,2023-09, compleated,Winter,Bones,8.46,23.0,series,"['Action', 'Adult Cast', 'Mystery', 'Organized Crime', 'Seinen', 'Super Power', 'Supernatural']"
581,Noragami, 12,2023-09, compleated,Winter,Bones,7.95,24.0,series,"['Action', 'Fantasy', 'Mythology', 'Shounen']"
582,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai., 11,2023-09, compleated,Spring,A-1 Pictures,8.31,22.0,series,"['Drama', 'Supernatural']"
584,Karakai Jouzu no Takagi-san, 12,2023-09, compleated,Winter,Shin-Ei Animation,7.70,23.0,series,"['Comedy', 'Romantic Subtext', 'School', 'Shounen']"
585,Btooom!, 12,2023-09, compleated,Fall,Madhouse,7.29,24.0,series,"['Action', 'High Stakes Game', 'Psychological', 'Seinen', 'Survival', 'Suspense']"
587,Gintama.: Shirogane no Tamashii-hen – Kouhan-sen, 14,2023-10, compleated,Summer,Bandai Namco Pictures,8.88,24.0,series,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']"
589,Fumetsu no Anata e, 20,2023-10, compleated,Spring,Brain's Base,8.35,25.0,series,"['Adventure', 'Drama', 'Shounen', 'Supernatural']"
591,Berserk, 12,2023-09, compleated,Summer,GEMBA,6.31,24.0,series,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Gore', 'Horror', 'Military', 'Seinen']"
592,World Dai Star, 12,2023-09, compleated,Spring,Lerche,7.34,24.0,series,['Performing Arts']
593,Bleach: Sennen Kessen-hen – Ketsubetsu-tan, 13,2023-09, compleated,Summer,Pierrot,8.98,24.0,series,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
594,Machikado Mazoku: 2-choume, 12,2023-12, compleated,Spring,J.C.Staff,7.86,24.0,series,"['CGDCT', 'Comedy', 'Fantasy', 'Mahou Shoujo', 'School']"
595,Mahouka Koukou no Yuutousei, 13,2023-10, compleated,Summer,Connect,6.66,23.0,series,"['Fantasy', 'School', 'Sci-Fi']"
596,RPG Fudousan, 12,2023-09, compleated,Spring,Doga Kobo,6.73,23.0,series,"['CGDCT', 'Comedy', 'Fantasy']"
597,Code Geass: Hangyaku no Lelouch R2, 25,2023-10, compleated,Spring,Sunrise,8.91,24.0,series,"['Action', 'Award Winning', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Super Power']"
599,Idolls!, 10,2023-09, compleated,Winter,Shin-Ei Animation,5.08,8.0,series,"['Idols (Female)', 'Music']"
600,Shironeko Project: Zero Chronicle, 12,2023-09, compleated,Spring,Project No.9,5.38,23.0,series,"['Action', 'Adventure', 'Fantasy']"
601,Ojou to Banken-kun, 13,2023-09, compleated,Fall,Project No.9,6.54,23.0,series,"['Romance', 'School', 'Shoujo']"
602,Muv-Luv Alternative 2nd Season, 12,2023-09, compleated,Fall,FLAGSHIP LINE,6.52,22.0,series,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi']"
604,Ikebukuro West Gate Park, 12,2023-09, compleated,Fall,Doga Kobo,6.87,23.0,series,"['Delinquents', 'Drama', 'Mystery']"
608,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan, 12,2023-09, compleated,Summer,feel.,8.36,24.0,series,"['Comedy', 'Love Polygon', 'Romance', 'School']"
609,Guilty Crown, 22,2023-10, compleated,Fall,Production I.G,7.41,24.0,series,"['Action', 'Drama', 'Mecha', 'Romantic Subtext', 'Sci-Fi', 'Super Power']"
610,Majutsushi Orphen Hagure Tabi: Urbanrama-hen, 12,2023-09, compleated,Winter,Studio Deen,6.15,23.0,series,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Martial Arts']"
611,Steins;Gate, 24,2023-10, compleated,Spring,White Fox,9.07,24.0,series,"['Drama', 'Psychological', 'Sci-Fi', 'Suspense', 'Time Travel']"
612,Ushio to Tora (TV), 26,2023-10, compleated,Summer,MAPPA,7.57,24.0,series,"['Action', 'Adventure', 'Mythology', 'Shounen', 'Supernatural']"
614,Tensei Oujo to Tensai Reijou no Mahou Kakumei, 12,2023-09, compleated,Winter,Diomedéa,7.50,23.0,series,"['Fantasy', 'Girls Love', 'Isekai', 'Reincarnation']"
615,Chuunibyou demo Koi ga Shitai!, 12,2023-09, compleated,Fall,Kyoto Animation,7.71,24.0,series,"['Comedy', 'Romance', 'School']"
618,Shiro Seijo to Kuro Bokushi, 12,2023-09, ongoing,Summer,Doga Kobo,7.29,23.0,series,"['Comedy', 'Fantasy', 'Romance', 'Shounen']"
619,Drifters, 12,2023-09, compleated,Fall,Hoods Entertainment,7.89,23.0,series,"['Action', 'Adult Cast', 'Adventure', 'Comedy', 'Fantasy', 'Gore', 'Historical', 'Isekai', 'Military', 'Samurai', 'Seinen']"
622,The iDOLM@STER Cinderella Girls: U149, 12,2023-09, compleated,Spring,CygamesPictures,7.72,24.0,series,"['Idols (Female)', 'Music']"
623,Wonder Egg Priority, 12,2023-09, compleated,Winter,CloverWorks,7.62,23.0,series,"['Drama', 'Fantasy', 'Psychological']"
624,Tsuki to Laika to Nosferatu, 12,2023-09, compleated,Fall,Arvo Animation,7.31,23.0,series,"['Fantasy', 'Historical', 'Military', 'Sci-Fi', 'Space', 'Vampire']"
628,Little Busters!, 26,2023-10, compleated,Fall,J.C.Staff,7.48,24.0,series,"['Comedy', 'Drama', 'School', 'Supernatural']"
629,No Guns Life, 12,2023-09, compleated,Fall,Madhouse,6.86,24.0,series,"['Action', 'Drama', 'Sci-Fi', 'Seinen']"
630,Owarimonogatari 2nd Season, 7,2023-10, compleated,Summer,Shaft,8.88,22.0,series,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']"
633,Meitantei Conan: Zero no Tea Time, 6,2023-10, compleated,Spring,TMS Entertainment,6.90,15.0,series,"['Detective', 'Mystery', 'Shounen', 'Slice of Life']"
634,Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu. 2, 12,2023-09, compleated,Winter,SILVER LINK.,7.20,23.0,series,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Video Game']"
635,Dark Gathering, 25,2023-12, compleated,Summer,OLM,7.36,23.0,series,"['Horror', 'Shounen', 'Supernatural']"
636,Tonikaku Kawaii 2nd Season, 12,2023-09, compleated,Spring,Seven Arcs,7.58,23.0,series,"['Comedy', 'Romance', 'Shounen']"
638,Mirai Shounen Conan, 26,2023-10, compleated,Spring,Nippon Animation,8.11,29.0,series,"['Adventure', 'Drama', 'Sci-Fi']"
639,Uzaki-chan wa Asobitai! Double, 13,2023-09, compleated,Fall,ENGI,7.25,23.0,series,"['Adult Cast', 'Comedy', 'Romantic Subtext']"
640,The God of High School, 13,2023-10, compleated,Summer,MAPPA,7.07,23.0,series,"['Action', 'Fantasy', 'Martial Arts', 'Super Power']"
641,Yamada-kun to 7-nin no Majo, 12,2023-09, compleated,Spring,LIDENFILMS,7.55,24.0,series,"['Comedy', 'Harem', 'Mystery', 'Romance', 'School', 'Shounen', 'Supernatural']"
642,Hataraku Maou-sama!, 13,2023-10, compleated,Spring,White Fox,7.74,24.0,series,"['Comedy', 'Fantasy', 'Mythology', 'Romantic Subtext', 'Workplace']"
643,Durarara!!x2 Shou, 12,2023-10, compleated,Winter,Shuka,7.98,24.0,series,"['Action', 'Mystery', 'Supernatural']"
644,Juuni Taisen, 12,2023-09, compleated,Fall,Graphinica,6.54,24.0,series,"['Action', 'Gore', 'Survival']"
646,Akuyaku Reijou nanode Last Boss wo Kattemimashita, 12,2023-09, compleated,Fall,Maho Film,7.23,23.0,series,"['Comedy', 'Fantasy', 'Isekai', 'Reincarnation', 'Romance', 'Shoujo']"
647,One Piece: Episode of Sabo – 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,null,2024-08, compleated,unknown,Toei Animation,7.70,,movie,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
649,Gakusen Toshi Asterisk 2nd Season, 12,2023-09, compleated,Spring,A-1 Pictures,7.00,24.0,series,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Romance', 'School', 'Sci-Fi']"
650,Kanata no Astra, 12,2023-09, compleated,Summer,Lerche,8.08,28.0,series,"['Adventure', 'Award Winning', 'Mystery', 'Sci-Fi', 'Shounen', 'Space', 'Survival']"
654,Ajin Part 2, 13,2023-10, compleated,Fall,Polygon Pictures,7.58,24.0,series,"['Action', 'Gore', 'Horror', 'Mystery', 'Seinen', 'Supernatural']"
656,Flying Witch, 12,2023-09, compleated,Spring,J.C.Staff,7.51,23.0,series,"['Iyashikei', 'Shounen', 'Slice of Life', 'Supernatural']"
657,Isekai One Turn Kill Neesan: Ane Douhan no Isekai Seikatsu Hajimemashita, 12,2023-09, compleated,Spring,Gekkou,6.36,23.0,series,"['Comedy', 'Fantasy', 'Isekai', 'Seinen']"
660,"Ijiranaide, Nagatoro-san 2nd Attack", 12,2023-09, compleated,Winter,OLM,7.51,23.0,series,"['Comedy', 'Romantic Subtext', 'School']"
661,Ajin, 13,2023-10, compleated,Winter,Polygon Pictures,7.39,24.0,series,"['Action', 'Gore', 'Horror', 'Mystery', 'Seinen', 'Supernatural']"
662,Enen no Shouboutai, 24,2023-10, compleated,Summer,David Production,7.71,23.0,series,"['Action', 'Fantasy', 'Sci-Fi', 'Shounen', 'Super Power']"
664,Magatsu Wahrheit: Zuerst, 12,2023-09, compleated,Fall,Yokohama Animation Lab,6.55,24.0,series,"['Action', 'Fantasy']"
665,Shenmue the Animation, 13,2023-10, compleated,Winter,Telecom Animation Film,6.67,23.0,series,"['Action', 'Adventure', 'Martial Arts']"
667,Maken-Ki!, 12,2023-09, compleated,Fall,AIC Spirits,6.32,25.0,series,"['Action', 'Ecchi', 'Harem', 'Martial Arts', 'School', 'Shounen', 'Super Power']"
668,Ooyukiumi no Kaina, 11,2023-09, compleated,Winter,Polygon Pictures,6.67,22.0,series,"['Fantasy', 'Survival']"
669,Ore no Kanojo to Osananajimi ga Shuraba Sugiru, 13,2023-10, compleated,Winter,A-1 Pictures,6.92,23.0,series,"['Comedy', 'Harem', 'Romance', 'School']"
670,Jibaku Shounen Hanako-kun, 12,2023-09, compleated,Winter,Lerche,7.84,24.0,series,"['Mythology', 'School', 'Shounen', 'Supernatural']"
671,Enen no Shouboutai: Ni no Shou, 24,2023-10, compleated,Summer,David Production,7.81,24.0,series,"['Action', 'Fantasy', 'Sci-Fi', 'Shounen', 'Super Power']"
672,Rikei ga Koi ni Ochita no de Shoumei shitemita., 12,2023-09, compleated,Winter,Zero-G,7.36,23.0,series,"['Adult Cast', 'Comedy', 'Romance']"
673,Gangsta., 12,2023-09, compleated,Summer,Manglobe,7.41,23.0,series,"['Action', 'Adult Cast', 'Drama', 'Organized Crime', 'Seinen']"
677,"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru", 12,2023-09, compleated,Spring,Blade,6.29,24.0,series,"['Action', 'Fantasy', 'Harem', 'Reincarnation', 'School']"
678,"Kumo desu ga, Nani ka?", 24,2023-10, compleated,Winter,Millepensee,7.45,23.0,series,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Mystery', 'Reincarnation']"
679,Noblesse, 13,2023-10, compleated,Fall,Production I.G,6.89,23.0,series,"['Action', 'School', 'Supernatural', 'Vampire']"
680,IDOLiSH7 Third Beat! Part 2, 17,2023-09, compleated,Fall,TROYCA,8.33,24.0,series,"['Drama', 'Idols (Male)', 'Music']"
681,Watashi no Shiawase na Kekkon, 12,2024-03, compleated,Summer,Kinema Citrus,8.25,23.0,series,"['Adult Cast', 'Drama', 'Fantasy', 'Historical', 'Romance']"
683,Saikin Yatotta Maid ga Ayashii, 11,2023-09, compleated,Summer,Blade,6.58,23.0,series,"['Comedy', 'Romantic Subtext', 'Shounen']"
684,Muteking the Dancing Hero, 12,2023-12, compleated,Fall,Tatsunoko Production,5.84,23.0,series,"['Action', 'Comedy', 'Music', 'Sci-Fi']"
685,Uchi no Kaisha no Chiisai Senpai no Hanashi, 12,2023-09, compleated,Summer,Project No.9,6.67,23.0,series,"['Adult Cast', 'Comedy', 'Romance', 'Workplace']"
686,Liar Liar, 12,2023-09, compleated,Summer,Geek Toys,6.42,23.0,series,"['Psychological', 'School', 'Strategy Game', 'Suspense']"
687,New Game!, 12,2023-09, compleated,Summer,Doga Kobo,7.56,24.0,series,"['Adult Cast', 'CGDCT', 'Comedy', 'Otaku Culture', 'Workplace']"
691,Death March kara Hajimaru Isekai Kyousoukyoku, 12,2023-09, compleated,Winter,Connect,6.45,23.0,series,"['Adventure', 'Fantasy', 'Harem', 'Isekai']"
693,Kingdom, 38,2023-10, compleated,Summer,Pierrot,7.92,25.0,series,"['Action', 'Historical', 'Military', 'Seinen']"
694,Kai Byoui Ramune, 12,2023-09, compleated,Winter,Platinum Vision,7.16,23.0,series,"['Medical', 'Mystery', 'Psychological', 'Shounen', 'Supernatural']"
695,Ousama Ranking, 23,2023-10, compleated,Fall,Wit Studio,8.53,22.0,series,"['Adventure', 'Fantasy']"
696,Fruits Basket 1st Season, 25,2023-10, compleated,Spring,TMS Entertainment,8.22,23.0,series,"['Drama', 'Love Polygon', 'Romance', 'School', 'Shoujo', 'Supernatural']"
697,Shingeki no Kyojin Season 2, 12,2023-09, compleated,Spring,Wit Studio,8.51,24.0,series,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']"
699,One Piece Film: Red,null,2024-08, compleated,unknown,Toei Animation,7.82,,movie,"['Action', 'Adventure', 'Award Winning', 'Comedy', 'Drama', 'Fantasy', 'Idols (Female)', 'Shounen']"
700,Mix: Meisei Story, 24,2023-10, compleated,Spring,OLM,7.22,23.0,series,"['Drama', 'Romance', 'School', 'Shounen', 'Sports', 'Team Sports']"
701,Akame ga Kill!, 24,2023-10, compleated,Summer,White Fox,7.47,23.0,series,"['Action', 'Fantasy', 'Gore', 'Shounen', 'Super Power']"
702,Guraburu!, 12,2023-09, compleated,Fall,DMM.futureworks,5.77,3.0,series,"['Adventure', 'Fantasy']"
703,Hunter x Hunter (2011), 148,2023-10, compleated,Fall,Madhouse,9.04,23.0,series,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
704,Getter Robo Arc, 13,2023-10, compleated,Summer,Bee Media,6.15,24.0,series,"['Action', 'Mecha', 'Sci-Fi', 'Shounen']"
705,Fuuka, 12,2023-09, compleated,Winter,Diomedéa,6.51,24.0,series,"['Drama', 'Ecchi', 'Love Polygon', 'Music', 'Romance', 'School', 'Shounen']"
706,Kyuuketsuki Sugu Shinu 2, 12,2023-09, compleated,Winter,Madhouse,7.44,23.0,series,"['Adult Cast', 'Comedy', 'Gag Humor', 'Shounen', 'Supernatural', 'Vampire']"
707,Runway de Waratte, 12,2023-09, compleated,Winter,Ezόla,7.57,24.0,series,"['Drama', 'School', 'Shounen', 'Showbiz', 'Visual Arts']"
708,Rail Wars!, 12,2023-09, compleated,Summer,Passione,6.39,24.0,series,"['Action', 'Detective', 'Ecchi', 'Harem', 'Workplace']"
709,Selection Project, 13,2023-10, compleated,Fall,Doga Kobo,7.26,23.0,series,"['Idols (Female)', 'Music']"
710,Manaria Friends, 10,2023-09, compleated,Winter,CygamesPictures,6.67,14.0,series,"['Fantasy', 'Iyashikei', 'School', 'Slice of Life']"
712,Tada-kun wa Koi wo Shinai, 13,2023-10, compleated,Spring,Doga Kobo,7.57,23.0,series,"['Comedy', 'Romance', 'School', 'Visual Arts']"
713,Days (TV), 24,2023-10, compleated,Summer,MAPPA,7.16,24.0,series,"['School', 'Shounen', 'Sports', 'Team Sports']"
714,Overlord Movie 3: Sei Oukoku-hen,null,, ongoing,unknown,Madhouse,7.80,,movie,"['Action', 'Adventure', 'Fantasy', 'Isekai']"
715,Tokyo Magnitude 8.0, 11,2023-09, compleated,Summer,Bones,8.01,22.0,series,"['Award Winning', 'Drama']"
717,Brave 10, 12,2023-09, compleated,Winter,TMS Entertainment,6.75,24.0,series,"['Action', 'Adventure', 'Historical', 'Samurai', 'Seinen', 'Super Power']"
718,Yatogame-chan Kansatsu Nikki Yonsatsume, 10,2023-09, compleated,Spring,Creators in Pack,6.29,3.0,series,"['Comedy', 'School', 'Shounen']"
720,God Eater, 13,2023-10, compleated,Summer,ufotable,7.20,23.0,series,"['Action', 'Fantasy', 'Military', 'Sci-Fi']"
721,Monogatari Series: Second Season, 26,2023-10, compleated,Summer,Shaft,8.76,25.0,series,"['Comedy', 'Mystery', 'Romance', 'Supernatural', 'Vampire']"
722,Joukamachi no Dandelion, 12,2023-09, compleated,Summer,Production IMS,7.16,24.0,series,"['Comedy', 'Seinen', 'Super Power', 'Supernatural']"
723,Gochuumon wa Usagi desu ka? Bloom, 12,2023-09, compleated,Fall,Encourage Films,7.93,24.0,series,"['CGDCT', 'Iyashikei', 'Slice of Life', 'Workplace']"
724,Shikizakura, 12,2023-09, compleated,Fall,Sublimation,5.83,24.0,series,"['Action', 'Drama', 'Sci-Fi']"
725,Ore Monogatari!!, 24,2023-10, compleated,Spring,Madhouse,7.90,22.0,series,"['Comedy', 'Romance', 'Shoujo']"
726,Tonikaku Kawaii: Joshikou-hen,null,, compleated,unknown,Seven Arcs,7.76,23.0,series,"['Comedy', 'Romance', 'Shounen']"
727,Utawarerumono: Futari no Hakuoro, 28,2023-10, compleated,Summer,White Fox,7.52,24.0,series,"['Action', 'Drama', 'Fantasy']"
728,Amaama to Inazuma, 12,2023-09, compleated,Summer,TMS Entertainment,7.53,24.0,series,"['Childcare', 'Gourmet', 'Iyashikei', 'Seinen', 'Slice of Life']"
729,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze, 39,2023-10, compleated,Fall,David Production,8.58,23.0,series,"['Action', 'Adventure', 'Organized Crime', 'Shounen', 'Supernatural']"
730,Kidou Senshi Gundam: Suisei no Majo Season 2, 12,2023-09, compleated,Spring,Sunrise,7.98,24.0,series,"['Action', 'Mecha', 'School', 'Sci-Fi', 'Space']"
732,Taishou Otome Otogibanashi, 12,2023-09, compleated,Fall,SynergySP,7.79,23.0,series,"['Comedy', 'Drama', 'Historical', 'Romance', 'Shounen']"
733,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2, 12,2023-09, compleated,Winter,White Fox,8.44,29.0,series,"['Drama', 'Fantasy', 'Isekai', 'Psychological', 'Suspense', 'Time Travel']"
736,Tensei shitara Slime Datta Ken 2nd Season, 12,2023-09, compleated,Winter,8bit,8.39,23.0,series,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Reincarnation', 'Shounen']"
738,One Piece Movie 03: Chinjuu-jima no Chopper Oukoku,null,2024-08, compleated,unknown,Toei Animation,6.84,,movie,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
739,Urusei Yatsura (2022), 23,2023-09, compleated,Fall,David Production,7.42,22.0,series,"['Comedy', 'Gag Humor', 'Romance', 'Sci-Fi', 'Shounen']"
740,No Game No Life, 12,2023-09, compleated,Spring,Madhouse,8.08,23.0,series,"['Comedy', 'Ecchi', 'Fantasy', 'Isekai', 'Strategy Game']"
742,Kami Kuzu☆Idol, 10,2023-09, compleated,Summer,Studio Gokumi,6.74,23.0,series,"['Comedy', 'Idols (Female)', 'Idols (Male)', 'Josei', 'Music', 'Supernatural']"
745,Violet Evergarden, 13,2023-10, compleated,Winter,Kyoto Animation,8.67,24.0,series,"['Drama', 'Fantasy']"
748,Koukyuu no Karasu, 13,2023-09, compleated,Fall,Bandai Namco Pictures,7.51,23.0,series,"['Fantasy', 'Historical', 'Josei', 'Mystery', 'Mythology']"
750,"Eiyuuou, Bu wo Kiwameru Tame Tenseisu: Soshite, Sekai Saikyou no Minarai Kishi♀", 12,2023-09, compleated,Winter,Studio Comet,6.57,23.0,series,"['Action', 'Fantasy', 'Reincarnation']"
751,Kami-tachi ni Hirowareta Otoko, 12,2023-09, compleated,Fall,Maho Film,6.98,23.0,series,"['Fantasy', 'Isekai', 'Reincarnation', 'Slice of Life']"
752,One Piece Movie 06: Omatsuri Danshaku to Himitsu no Shima,null,2024-08, compleated,unknown,Toei Animation,7.77,,movie,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Shounen']"
753,Peter Grill to Kenja no Jikan, 12,2023-09, compleated,Summer,Wolfsbane,5.52,12.0,series,"['Comedy', 'Erotica', 'Fantasy', 'Harem']"
754,Magi: The Labyrinth of Magic, 25,2023-10, compleated,Fall,A-1 Pictures,8.01,24.0,series,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
756,Maoujou de Oyasumi, 12,2023-09, compleated,Fall,Doga Kobo,7.98,23.0,series,"['Comedy', 'Fantasy', 'Mythology', 'Shounen']"
758,Sabiiro no Armor: Reimei, 12,2023-09, compleated,Winter,Kigumi,3.84,23.0,series,"['Action', 'Historical', 'Samurai']"
