,title,eps_count,publish_date,status,season,studio,rate,eps_period,type,classification
355,Tokyo Ghoul:re 2nd Season, 12,2023-09, compleated,Fall,Pierrot,6.43,24.0,series,"['Action', 'Fantasy', 'Gore', 'Horror', 'Psychological', 'Seinen']"
357,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta… X, 12,2023-09, compleated,Summer,SILVER LINK.,7.25,23.0,series,"['Comedy', 'Fantasy', 'Isekai', 'Reincarnation', 'Reverse Harem', 'Romance', 'School', 'Shoujo']"
358,Love All Play, 24,2023-10, compleated,Spring,Nippon Animation,6.51,23.0,series,"['School', 'Sports']"
359,"Maou-sama, Retry!", 12,2023-09, compleated,Summer,EKACHI EPILKA,6.55,23.0,series,"['Action', 'Adventure', 'Fantasy', 'Isekai']"
360,Mushikaburi-hime, 12,2023-09, compleated,Fall,Madhouse,6.86,23.0,series,"['Drama', 'Fantasy', 'Josei', 'Romance']"
361,Project Scard: Praeter no Kizu, 13,2023-10, compleated,Winter,GoHands,5.89,23.0,series,"['Action', 'Super Power']"
362,Lycoris Recoil, 13,2023-10, compleated,Summer,A-1 Pictures,8.19,24.0,series,['Action']
363,WWW.Working!!, 13,2023-10, compleated,Fall,A-1 Pictures,7.41,23.0,series,"['Comedy', 'Workplace']"
364,"Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau", 13,2023-09, compleated,Fall,EMT Squared,6.94,23.0,series,"['Action', 'Fantasy', 'Harem']"
366,Akebi-chan no Sailor-fuku, 12,2023-09, compleated,Winter,CloverWorks,7.69,23.0,series,"['CGDCT', 'School', 'Slice of Life']"
367,Nanatsu no Taizai: Kamigami no Gekirin, 24,2023-10, compleated,Fall,Studio Deen,6.46,24.0,series,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
368,Dimension W, 12,2023-09, compleated,Winter,Orange,7.19,24.0,series,"['Action', 'Sci-Fi', 'Seinen']"
370,Jitsu wa Watashi wa, 13,2023-10, compleated,Summer,TMS Entertainment,6.84,23.0,series,"['Comedy', 'Fantasy', 'Harem', 'Romance', 'School', 'Shounen', 'Vampire']"
371,Id:Invaded, 13,2023-10, compleated,Winter,NAZ,7.83,24.0,series,"['Adult Cast', 'Detective', 'Mystery', 'Psychological', 'Sci-Fi', 'Suspense']"
372,Fate/stay night: Unlimited Blade Works, 12,2023-09, compleated,Fall,ufotable,8.18,28.0,series,"['Action', 'Fantasy', 'Supernatural']"
373,Ahiru no Sora, 50,2023-10, compleated,Fall,Diomedéa,7.27,24.0,series,"['School', 'Shounen', 'Sports', 'Team Sports']"
374,Working!!!, 13,2023-10, compleated,Summer,A-1 Pictures,7.96,23.0,series,"['Comedy', 'Romance', 'Seinen', 'Workplace']"
375,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai, 12,2023-09, compleated,Summer,J.C.Staff,7.23,23.0,series,"['Comedy', 'Ecchi', 'Gag Humor', 'School']"
376,Spy x Family Part 2, 13,2023-09, compleated,Fall,CloverWorks,8.30,24.0,series,"['Action', 'Childcare', 'Comedy', 'Shounen']"
377,Working!!, 13,2023-10, compleated,Spring,A-1 Pictures,7.65,24.0,series,"['Comedy', 'Romantic Subtext', 'Seinen', 'Workplace']"
378,Jujutsu Kaisen, 24,2023-10, compleated,Fall,MAPPA,8.63,23.0,series,"['Action', 'Award Winning', 'Fantasy', 'School', 'Shounen']"
382,"Dakara Boku wa, H ga Dekinai.", 12,2023-09, compleated,Summer,feel.,6.55,25.0,series,"['Comedy', 'Ecchi', 'Romance', 'Supernatural']"
384,Deaimon, 12,2023-09, compleated,Spring,Encourage Films,7.56,24.0,series,"['Childcare', 'Seinen', 'Slice of Life', 'Workplace']"
385,Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei, 12,2023-09, compleated,Fall,Hotline,6.21,23.0,series,"['Adventure', 'Fantasy', 'Harem', 'Isekai', 'Romance']"
386,Shine Post, 12,2023-12, compleated,Summer,Studio Kai,7.53,22.0,series,"['Drama', 'Idols (Female)', 'Music']"
387,Tate no Yuusha no Nariagari Season 2, 13,2023-10, compleated,Spring,DR Movie,6.55,23.0,series,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Isekai']"
